"Back","Indietro",
"Pay via Bridge","Paga con Bridge",
"Choose my bank","Cerca una banca",
"Search a bank","Reso",
"No results to display","Nessun risultato da visualizzare",
"Instant bank payment ","Bonifico immediato mediante Bridge ",
"TLS call failed","Chiamata TLS non riuscita",
"No configuration saved","Nessuna configurazione salvata",
"Error while calling the Bridge API please consult logs for more informations.","Errore durante la chiamata all’API Bridge, verificare i log per maggiori informazioni",
"Pay with Bridge","Paga con Bridge",
"Try again to check payment",,
"Click here to try again to check payment from Bridge",,
"You have chosen to pay for your order by bank transfer using Bridge solution.","Hai scelto di pagare il tuo ordine mediante bonifico immediato utilizzando il sistema Bridge.",
"Your transfer is under process.","Il tuo bonifico è in attesa di esecuzione da parte della tua banca.",
"Your order will be shipped once the transfer executed by your bank.","Il tuo ordine verrà spedito non appena verrà eseguito il bonifico dalla tua banca.",
"If you have any questions or concerns, please feel free to contact ",,
"our customer service.","nostro servizio clienti.",
"Setting up your order statuses","Configurazione dei tuoi stati ordine",
"Status of pending wire transfers","Stato dei bonifici in attesa di elaborazione",
"The order will be set to the selected status while waiting for the transfer to be processed by the issuing bank","L'ordine sarà posto in questo stato fino a quando il pagamento non sarà stato eseguito dalla banca emittente",
"Status of executed wire transfers","Stato dei bonifici emessi",
"The order will be placed in this status upon execution of payment by the issuing bank","L'ordine sarà posto in questo stato non appena verrà eseguito il bonifico dalla banca emittente",
"Assigning the payment states to different statuses will change the events started by Magento. Exemple : on payment accepted, Magento sends an email to your customer to confirm his order.","Assegnando gli stati di pagamento a stati diversi, gli eventi avviati da Magento cambieranno. Esempio: a pagamento accettato, Magento invia un'e-mail al cliente per confermare l'ordine.",
"Save","Salva",
"Setting up your Bridge account","Configurazione del tuo account Bridge",
"Environment","Ambiente",
"Test","Test",
"Production","Produzione",
"This option defines in whitch environment your module is configured","Questa opzione definisce in quale ambiente è configurato il modulo",
"Client ID","Client ID",
"Fill in you Client ID","Immetti il tuo client ID",
"This information is located in your Bridge dashboard: 'Settings' &gt; 'General settings'","Quest'informazione si trova nella tua dashboard Bridge: ""Impostazioni"" &gt; ""Impostazioni generali""
""Client Secret","Client Secret"
"Fill in you Client secret","Immetti il tuo Client secret",
"Save","Salva",
"Status","Stato",
"URL for webhook","URL per il webhook",
"Accept your first payments in 10 minutes","Accetta i tuoi primi pagamenti in 10 minuti",
"Test Bridge","Prova Bridge",
"Create a Bridge account","Crea un account Bridge",
"Create a test application","Crea un’applicazione di test",
"Enable test mode below","Attiva la modalità di test qui sotto",
"Insert test client ID and client Secret below","Inserisci l’ID cliente e il cliente Segreto qui sotto",
"Test payments","Testa i pagamenti",
"Go to production","Passa alla produzione",
"Schedule an appointment here","Prendi un appuntamento qui",
"Need help ?","Hai bisogno d’aiuto ?",
"As for the solution, if you want to know the coverage available ?","Sulla soluzione, la copertura disponibile ?",
"Visit our FAQs here","Consulta le nostre FAQ qui",
"Having a problem setting up the solution ?","Problemi con l’implementazione della soluzione ?",
"Contact our technical team here","Contatta il nostro team tecnico qui",
"Having a technical issue in production ?","Problemi tecnici con la produzione ?",
"Contact our support here","Contatta la nostra assistenza qui",
"Unavaliable","Non disponibile",
"To configure this module you need to select a sub shop","Per configurare questo modulo, è necessario selezionare un negozio.",
"What is Pay by Account-to-Account Transfer (by Bridge)?","Cos’è il modulo Pagamento tramite bonifico account-to-account (by Bridge)?",
"Integrate Bridge, a secure plug-and-play payment solution, to increase your conversion rates at reduced costs. Enjoy easy reconciliation and low fraud rates.<br />","Integra Bridge, una soluzione di pagamento sicura plug-and-play, per aumentare i tassi di conversione a costi ridotti. Usufruisci di una riconciliazione facilitata e di un basso tasso di frode. <br />",
"The Bridge payment solution allows you to:<br />","La soluzione di pagamento Bridge ti permette di: <br />",
"- Offer high payment ceilings:<br />","- Offrire soglie di pagamento elevate:<br />",
"Increase your conversion rates by allowing top carts to pay large sums instantly. <br />","Aumenta i tuoi tassi di conversione consentendo il pagamento immediato di carrelli di importi elevati. <br />",
"- Take advantage of a low-cost payment solution <br />","- Usufruire di una soluzione di pagamento a costo ridotto <br />",
"Both cost management and cash flow management are simplified. You can take advantage of a more competitive cost than using a credit card by paying a low percentage only on the transactions made on your site. <br />","La gestione dei costi è semplificata, così come la gestione del cashflow. Puoi beneficiare di un costo più competitivo rispetto a quello della carta di credito pagando una percentuale minima solo sulle transazioni effettuate sul tuo sito. <br />",
"- Enjoy instant payments: <br />","- Approfittare dell’immediatezza dei pagamenti: <br />",
"Receive funds in your bank account fast.<br />","Disponi rapidamente di fondi sul tuo conto bancario.<br />",
"- Benefit from irrevocability of payments: <br />","- Approfittare dell’irrevocabilità dei pagamenti: <br />",
"Payments are irrevocable. In other words, customers cannot cancel or modify their payments. <br />","Il pagamento è irrevocabile, vale a dire che il cliente non può annullare né modificare il suo pagamento. <br />",
"- Reduce fraud rates and offer secure payment<br />","- Ridurre i tassi di frode e offrire un pagamento sicuro<br />",
"With account-to-account transfer, at the time of payment, your customer is authenticated directly to their online account.","Con il pagamento account-to-account, al momento del pagamento, il tuo cliente si autentica direttamente sul suo account online.",
"No sensitive data will be entered, which makes it possible to offer a secure payment process with a limited risk of fraud.<br />","Nessun dato sensibile sarà inserito, cosa che consente di offrire un processo di pagamento sicuro con un rischio di frode limitato. <br />",
"How does transfer payment work?","Come funziona il pagamento tramite bonifico?",
"A seamless and secure payment process: <br />","Un processo di pagamento fluido e sicuro: <br />",
"Step 1: The customer chooses to pay for their purchase by account-to-account transfer <br />","Fase 1: Il cliente seleziona il pagamento tramite bonifico account-to-account per pagare l’acquisto <br />",
"Step 2: The customer selects their bank to settle their purchase <br />","Fase 2: Il cliente seleziona la sua banca per pagare l’acquisto <br />",
"Step 3: The customer is authenticated with their bank in a smooth and secure manner<br />","Fase 3: Il cliente si autentica con la sua banca in modo semplice e sicuro<br />",
"Step 4: The customer verifies and confirms the payment <br />","Fase 4: Il cliente verifica e conferma il pagamento <br />",
"Benefits: <br />","Vantaggi: <br />",
"- No manual input or IBAN<br />","- Nessun inserimento manuale o IBAN<br />",
"- Payment in a few seconds<br />","- Pagamento effettuato in pochi secondi<br />",
"- No additional cost <br />","- Nessun costo aggiuntivo <br />",
"High Ceilings <br />","Soglie elevate <br />",
"Your customers can pay for big carts safely and instantly - no need to increase their credit card ceilings. <br />","I tuoi clienti possono pagare carrelli di importi importanti in modo sicuro e istantaneo, senza bisogno di aumentare la loro soglia di carta di credito. <br />",
"Security <br />","Sicurezza <br />",
"No manual input is required - banking information remains in your customer's hands. <br />","Non è necessario alcun inserimento manuale, le informazioni bancarie rimangono nelle mani del tuo cliente. <br />",
"Simplicity <br />","Semplicità <br />",
"Whether your customer is on a mobile device or in front of a computer, the payment process is simple and seamless. Payment is completed in a matter of seconds.","Indipendentemente dal fatto che il tuo cliente operi dal cellulare o dal computer, il percorso di pagamento è semplice e fluido. Il pagamento viene effettuato in soli pochi secondi. ",
"How long will it take to receive my payment?","Quanto tempo ci vorrà per ricevere il pagamento?",
"It depends on the banks. There are two use cases as follows:<br />","Questo dipende dalla banca, sono previsti due casi di utilizzo:<br />",
"- For banks that offer instant transfer, funds arrive in your account in a matter of seconds (10 seconds max).<br />","- Per le banche che offrono il bonifico istantaneo, i fondi arrivano sul conto in pochi secondi (10 secondi al massimo)<br />",
"- For banks that do not offer instant transfer yet, the funds arrive in your bank account within 48 business hours.<br />","- Per le banche che non offrono ancora il bonifico istantaneo, i fondi arrivano sul conto bancario entro 48 ore<br />",
"In both cases, the Magento module informs you of the status and condition of your payment.","In entrambi i casi, il modulo Magento mostra lo stato del pagamento.<br />",
"What are the technical requirements of the Magento2 module?","Quali sono i requisiti tecnici del modulo Magento?",
"How do I create my account on the Bridge dashboard?","Come faccio a creare il mio account sul dashboard di Bridge?",
"Register <a href=""https://dashboard.bridgeapi.io/signup?utm_campaign=UTM"" target=""_blank"">here</a> to access the Bridge dashboard.","Inscrivez-vous <a href=""https://dashboard.bridgeapi.io/signup?utm_campaign=connector_magento"" target=""_blank"">ici</a> afin d'avoir accès au dashboard de Bridge.",
"How do I check that the module runs well?","Come verificare il corretto funzionamento del modulo?",
"Test mode allows you to verify that the module is working properly with your shop and to see how the customer experience is without any funds or fees being charged.<br />","La modalità Test consente di verificare che il modulo funzioni correttamente con il tuo negozio e di scoprire com’è l’esperienza cliente senza che vengano richiesti fondi o commissioni.<br />",
"Steps: <br />","Fasi: <br />",
"- Create an account on the Bridge dashboard<br />","- Creare un account sul dashboard di Bridge<br />",
"- Create an app on the Bridge dashboard on Sandbox mode<br />","- Creare un’app sul dashboard di Bridge in modalità Sandbox<br />",
"- Activate the Test mode on the module<br />","- Attiva la modalità di Test sul modulo<br />",
"- Add your Sandbox client ID and client secret<br />","- Aggiungi il tuo ID cliente e il cliente segreto di Sandbox<br />",
"You can then make the first Test payment :<br />","È quindi possibile effettuare il primo pagamento di prova :<br />",
"How do I receive my first payments in my account?","Come si effettuano i primi pagamenti sul mio conto?",
"Once you are ready to bill your customers with our module, you can switch to Production mode.<br />","Una volta pronto a fatturare i tuoi clienti con il nostro modulo, puoi passare alla modalità Produzione. <br />",
"You will need to create a Production app on the Bridge dashboard.<br />","È necessario creare un’app di Produzione nel dashboard di Bridge.<br />",
"To do so, please contact our sales team:<br />","Per farlo, contatta il nostro team commerciale:<br />",
"Do I need to configure Bridge webhooks?","Devo configurare i webhook su Bridge?",
"Yes, you need to configure webhooks in order to get more details about the transactions and their status.<br />","Sì, è necessario configurare i webhook per ottenere maggiori dettagli sulle transazioni e il loro stato.<br />",
"You need to add this callback URL :","Occorre aggiungere questo url di promemoria ",
" to your Bridge dashboard > Webhooks > Add a webhook > And select this one:<br /> "," al dashboard di Bridge > Webhook > Aggiungi un webhook > E selezionare:<br />",
"payment.transaction.updated.<br />","payment.transaction.updated.<br />",
"You can name the webhook as you wish.","È possibile denominare il webhook nel modo desiderato.",
"Do you have a question about your account, billing, fees, contract?<br />How do I contact support?","Hai una domanda sul tuo account, sulla fatturazione, sulle spese o sul contratto?<br />Come posso contattare l’assistenza?",
"- URL: %s<br />- PHP: %s<br />- Module version: %s<br />- Magento version: %s<br />","- URL: %s<br />- PHP: %s<br />- Versione del modulo: %s<br />- Versione Magento: %s<br />",
"To contact the support you must go to the developer page of the module on Magento Addons","Per contattare l’assistenza è necessario andare sulla scheda dello sviluppatore del modulo su PrestaShop Addons.<br />",
"Send a message with the following information:<br />","Inviate un messaggio con le seguenti informazioni:<br />",
"- Multishop: yes / no","- Multishop: Si / No",
"contact us here","contattaci qui"
"Integrated","Integrata"
"In integrated mode, bank selection is done directly in the Prestashop checkout.","In modalità integrata, la selezione della banca avviene direttamente nel checkout di Prestashop."
"Pay by link","Pagamento tramite link"
"In Pay by link mode, the customer is redirected to a payment portal on the Bridge side.","In modalità Pay by link, il cliente viene reindirizzato verso un portale di pagamento sul lato Bridge."
"Payment account","Conto di pagamento"
"Label","Etichetta"
