"Production environment","Ambiente de produção",
"Back","Voltar",
"Pay via Bridge","Pagar com Bridge",
"Choose my bank","Selecionar o meu banco",
"Search a bank","Pesquisar um banco",
"No results to display","Sem resultados para exibir",
"Instant bank payment ","Transferência imediata através da Bridge ",
"TLS call failed","Ligação TLS falhou",
"No configuration saved","Nenhuma configuração guardada",
"Error while calling the Bridge API please consult logs for more informations.","Erro ao executar a API Bridge, por favor consulte os logs para mais informações.",
"Pay with Bridge","Pagar com Bridge",
"Try again to check payment",,
"Click here to try again to check payment from Bridge",,
"You have chosen to pay for your order by bank transfer using Bridge solution.","Optou por pagar a sua encomenda por transferência imediata utilizando o sistema Bridge.",
"Your transfer is under process.","A sua transferência bancária está à espera de ser executada pelo seu banco.",
"Your order will be shipped once the transfer executed by your bank.","A sua encomenda será enviada assim que o seu banco executar a transferência.",
"If you have any questions or concerns, please feel free to contact ",,
"our customer service.","nosso serviço ao cliente.",
"Setting up your order statuses","Configuração dos estados da sua encomenda",
"Status of pending wire transfers","Estado das transferências pendentes",
"The order will be set to the selected status while waiting for the transfer to be processed by the issuing bank","A encomenda será colocada neste estado enquanto o pagamento não tiver sido executado pelo banco emissor.",
"Status of executed wire transfers","Estado das transferências emitidas",
"The order will be placed in this status upon execution of payment by the issuing bank","A encomenda será colocada neste estado assim que a transferência for executada pelo banco emissor",
"Assigning the payment states to different statuses will change the events started by Magento. Exemple : on payment accepted, Magento sends an email to your customer to confirm his order.","A atribuição dos estados de pagamento a diferentes estados alterará os eventos iniciados pela Magento. Exemplo : no pagamento aceite, Magento envia um e-mail ao seu cliente para confirmar a sua encomenda.",
"Save","Registar",
"Setting up your Bridge account","Configuração da sua conta Bridge",
"Environment","Ambiente",
"Test","Teste",
"Production","Produção",
"This option defines in whitch environment your module is configured","Questa opzione definisce in quale ambiente è configurato il modulo",
"Client ID","ID de Cliente",
"Fill in you Client ID","Preencha o seu ID de cliente",
"This information is located in your Bridge dashboard: 'Settings' &gt; 'General settings'","Esta informação está localizada no painel de instrumentos Bridge: ""Configurações"" &gt; ""Configurações gerais""
""Client Secret","Cliente secreto"
"Fill in you Client secret","Preencha o seu Cliente secreto",
"Save","Registar",
"Status","Estado",
"URL for webhook","URL para o gancho da web",
"Accept your first payments in 10 minutes","Aceite os seus primeiros pagamentos em 10 minutos",
"Test Bridge","Testar Bridge",
"Create a Bridge account","Criar uma conta Bridge",
"Create a test application","Criar uma aplicação de testes",
"Enable test mode below","Ativar o modo de testes abaixo",
"Insert test client ID and client Secret below","Introduzir o sandbox client ID e o client secret abaixo",
"Test payments","Testar os pagamentos",
"Go to production","Ir para produção",
"Schedule an appointment here","Agende uma sessão aqui",
"Need help ?","Precisa de ajuda ?",
"As for the solution, if you want to know the coverage available ?","Sobre a solução ou a cobertura disponível ?",
"Visit our FAQs here","Consulte as nossas FAQ aqui",
"Having a problem setting up the solution ?","Um problema na configuração da solução ?",
"Contact our technical team here","Entre em contacto com a nossa equipa técnica aqui",
"Having a technical issue in production ?","Um problema técnico em produção ?",
"Contact our support here","Entre em contacto com o nosso suporte aqui",
"Unavaliable","Indisponível",
"To configure this module you need to select a sub shop","Para configurar este módulo deverá selecionar uma loja.",
"What is Pay by Account-to-Account Transfer (by Bridge)?","O que é o módulo Pagar por transferência de conta a conta (com Bridge)?",
"Integrate Bridge, a secure plug-and-play payment solution, to increase your conversion rates at reduced costs. Enjoy easy reconciliation and low fraud rates.<br />","Ao integrar a Bridge, uma solução plug-and-play para pagamento seguro, aumenta as suas taxas de conversão a custos reduzidos. Beneficie de uma reconciliação mais fácil e de baixas taxas de fraude.<br />",
"The Bridge payment solution allows you to:<br />","A solução de pagamento Bridge permite-lhe:<br />",
"- Offer high payment ceilings:<br />","- Oferecer limites de pagamento elevados:<br />",
"Increase your conversion rates by allowing top carts to pay large sums instantly. <br />","Aumente as suas taxas de conversão ao permitir que as compras de valor mais elevado sejam pagas de forma imediata.<br />",
"- Take advantage of a low-cost payment solution <br />","- Beneficiar de uma solução de pagamento de baixo custo<br />",
"Both cost management and cash flow management are simplified. You can take advantage of a more competitive cost than using a credit card by paying a low percentage only on the transactions made on your site. <br />","A gestão de custos é simplificada, bem como a gestão do fluxo de caixa. Pode beneficiar de um custo mais competitivo comparativamente a um cartão multibanco ao pagar uma percentagem reduzida apenas nas transações realizadas no seu site.<br />",
"- Enjoy instant payments: <br />","- Aproveitar os pagamentos instantâneos:<br />",
"Receive funds in your bank account fast.<br />","Receba os fundos rapidamente na sua conta bancária.<br />",
"- Benefit from irrevocability of payments: <br />","- Aproveitar a irrevogabilidade dos pagamentos:<br />",
"Payments are irrevocable. In other words, customers cannot cancel or modify their payments. <br />","O pagamento é irrevogável - por outras palavras, o cliente não pode cancelar nem modificar o seu pagamento.<br />",
"- Reduce fraud rates and offer secure payment<br />","- Reduzir as taxas de fraude e disponibilizar um pagamento seguro<br />",
"With account-to-account transfer, at the time of payment, your customer is authenticated directly to their online account.","Com a transferência imediata, no momento do pagamento, o seu cliente autentica-se diretamente na sua conta online. Nenhum dado sensível será inserido, o que permite oferecer um processo de pagamento seguro com risco limitado de fraude.",
"No sensitive data will be entered, which makes it possible to offer a secure payment process with a limited risk of fraud.<br />"," Nenhum dado sensível será inserido, o que permite oferecer um processo de pagamento seguro com risco limitado de fraude.<br />",
"How does transfer payment work?","Como funciona o pagamento por transferência?",
"A seamless and secure payment process: <br />","Um processo de pagamento fluído e seguro:<br />",
"Step 1: The customer chooses to pay for their purchase by account-to-account transfer <br />","Passo 1: O cliente seleciona o método de transferência imediata para pagar a sua compra<br />",
"Step 2: The customer selects their bank to settle their purchase <br />","Passo 2: O cliente seleciona o seu banco para pagar a sua compra<br />",
"Step 3: The customer is authenticated with their bank in a smooth and secure manner<br />","Passo 3: O cliente autentica-se junto do seu banco de forma fluída e segura<br />",
"Step 4: The customer verifies and confirms the payment <br />","Passo 4: O cliente verifica e confirma o pagamento<br />",
"Benefits: <br />","As vantagens:<br />",
"- No manual input or IBAN<br />","- Sem digitação manual ou IBAN<br />",
"- Payment in a few seconds<br />","- Pagamento em apenas alguns segundos<br />",
"- No additional cost <br />","- Sem custos adicionais<br />",
"High Ceilings <br />","Os limites elevados<br />",
"Your customers can pay for big carts safely and instantly - no need to increase their credit card ceilings. <br />","Os seus clientes podem pagar os cestos de compras mais elevados com total segurança e de forma instantânea, sem necessitar de aumentar os limites do cartão multibanco.<br />",
"Security <br />","A segurança<br />",
"No manual input is required - banking information remains in your customer's hands. <br />","Não é necessária qualquer digitação manual, as informações bancárias encontram-se nas mãos do seu cliente.<br />",
"Simplicity <br />","A simplicidade<br />",
"Whether your customer is on a mobile device or in front of a computer, the payment process is simple and seamless. Payment is completed in a matter of seconds.","Quer o seu cliente esteja no telemóvel ou no computador, o processo de pagamento é simples e sem percalços. O pagamento é feito em apenas alguns segundos.",
"How long will it take to receive my payment?","Quanto tempo demora até receber o meu pagamento?",
"It depends on the banks. There are two use cases as follows:<br />","Dependendo dos bancos, existem duas possibilidades:<br />",
"- For banks that offer instant transfer, funds arrive in your account in a matter of seconds (10 seconds max).<br />","- Para os bancos que disponibilizam transferência imediata, os fundos chegam à sua conta em poucos segundos (máximo 10 segundos)<br />",
"- For banks that do not offer instant transfer yet, the funds arrive in your bank account within 48 business hours.<br />","- Para os bancos que ainda não disponibilizam transferência imediata, os fundos chegam à sua conta bancária dentro de 48 horas úteis<br />",
"In both cases, the Magento module informs you of the status and condition of your payment.","Em ambos os casos, o módulo Magento indica o estatuto e o estado do seu pagamento.<br />",
"What are the technical requirements of the Magento2 module?","Quais são os requisitos técnicos do módulo PrestaShop?",
"How do I create my account on the Bridge dashboard?","Como criar a minha conta no painel de controlo Bridge?",
"Register <a href=""https://dashboard.bridgeapi.io/signup?utm_campaign=UTM"" target=""_blank"">here</a> to access the Bridge dashboard.","Registe-se <a href=""https://dashboard.bridgeapi.io/signup?utm_campaign=connector_magento"" target=""_blank"">aqui</a> para ter acesso ao painel de controlo da Bridge.",
"How do I check that the module runs well?","Como verificar o correto funcionamento do módulo?",
"Test mode allows you to verify that the module is working properly with your shop and to see how the customer experience is without any funds or fees being charged.<br />","O modo de Teste permite-lhe verificar se o módulo funciona corretamente com a sua loja e também ver como é a experiência do cliente sem cobrança de fundos ou taxas.<br />",
"Steps: <br />","Passos:<br />",
"- Create an account on the Bridge dashboard<br />","- Crie uma conta no painel de controlo Bridge<br />   ",
"- Create an app on the Bridge dashboard on Sandbox mode<br />","- Crie uma aplicação no painel de controlo Bridge no modo Sandbox<br />",
"- Activate the Test mode on the module<br />","- Ative o modo de Teste no módulo<br />",
"- Add your Sandbox client ID and client secret<br />","- Adicione o seu Sandbox client ID e client secret<br />",
"You can then make the first Test payment :<br />","Poderá em seguida fazer o seu primeiro pagamento de Teste :<br />",
"How do I receive my first payments in my account?","Como transferir os meus primeiros pagamentos para a minha conta?",
"Once you are ready to bill your customers with our module, you can switch to Production mode.<br />","Quando estiver pronto para faturar aos seus clientes com o nosso módulo, poderá alternar para o modo Produção.<br />",
"You will need to create a Production app on the Bridge dashboard.<br />","Deverá criar uma aplicação de Produção no painel de controlo Bridge.<br />",
"To do so, please contact our sales team:<br />","Para tal, contacte a nossa equipa comercial:<br />",
"Do I need to configure Bridge webhooks?","Devo configurar webhooks com Bridge?",
"Yes, you need to configure webhooks in order to get more details about the transactions and their status.<br />","Sim, deverá configurar webhooks para obter mais detalhes sobre as transações e respetivos estados.<br />",
"You need to add this callback URL :","Deverá adicionar este url :",
" to your Bridge dashboard > Webhooks > Add a webhook > And select this one:<br /> "," ao seu painel de controlo Bridge > Webhooks > Adicionar webhook > E selecionar:<br />",
"payment.transaction.updated.<br />","payment.transaction.updated.<br />",
"You can name the webhook as you wish.","Pode nomear o webhook como desejar.",
"Do you have a question about your account, billing, fees, contract?<br />How do I contact support?","Tem uma questão sobre a sua conta, faturação, taxas, o seu contrato?<br />Como contactar o suporte?",
"- URL: %s<br />- PHP: %s<br />- Module version: %s<br />- Magento version: %s<br />","- URL: %s<br />- PHP: %s<br />- Versão do módulo: %s<br />- Versão Magento: %s<br />",
"To contact the support you must go to the developer page of the module on Magento Addons","Para contactar o suporte, aceda à página do desenvolvedor do módulo no Magento Addons.<br />",
"Send a message with the following information:<br />","Enviar uma mensagem com as seguintes informações:<br />",
"- Multishop: yes / no","- Multishop: Sim / No",
"contact us here","contacte-nos aqui"
"Integrated","Integrada"
"In integrated mode, bank selection is done directly in the Prestashop checkout.","No modo integrado, a escolha dos bancos é feita diretamente no checkout do Prestashop."
"Pay by link","Pagamento por link"
"In Pay by link mode, the customer is redirected to a payment portal on the Bridge side.","No modo Pay by link, o cliente é redirecionado para um portal de pagamento no lado Bridge."
"Payment account","Conta de pagamento"
"Label","Etiqueta"
