"The order will be set to the selected status while waiting for the transfer to be processed by the issuing bank","Die Bestellung wird in diesen Status gesetzt, solange die Zahlung von der eröffnenden Bank noch nicht ausgeführt wurde"
"Status of executed wire transfers","Status der gesendeten Überweisungen"
"The order will be placed in this status upon execution of payment by the issuing bank","Die Bestellung wird in diesen Status gesetzt, sobald die Überweisung von der eröffnenden Bank ausgeführt wurde"
"Assigning the payment states to different statuses will change the events started by Magento. Exemple : on payment accepted, Magento sends an email to your customer to confirm his order.","Wenn Sie den Zahlungsstatus verschiedenen Zuständen zuordnen, ändern sich die von Magento ausgelösten Ereignisse. Beispiel: Wenn die Zahlung akzeptiert wurde, sendet Magento eine E-Mail an Ihren Kunden, um seine Bestellung zu bestätigen."
"Save","Registrieren"
"Setting up your Bridge account","Konfiguration Ihres Bridge-Kontos"
"Environment","Umgebung"
"Test","Test"
"Production","Produktion"
"This option defines in whitch environment your module is configured","Diese Option legt fest, in welcher Umgebung Ihr Modul konfiguriert ist"
"Client ID","Kunden-ID"
"Fill in you Client ID","Geben Sie Ihre Kunden-ID ein"
"This information is located in your Bridge dashboard: 'Settings' > 'General settings'","Diese Informationen finden Sie in Ihrem Bridge-Dashboard: 'Einstellungen' > 'Allgemeine Einstellungen'"
"Client Secret","Geheimer Client-Schlüssel"
"Fill in you Client secret","Geben Sie Ihren geheimen Client-Schlüssel ein"
"Save","Registrieren"
"Status","Staat"
"URL for webhook","URL für den Webhook"
"Accept your first payments in 10 minutes","Akzeptieren Sie Ihre ersten Zahlungen innerhalb von 10 Minuten"
"Test Bridge","Bridge testen"
"Create a Bridge account","Ein Bridge-Konto erstellen"
"Create a test application","Eine Testanwendung erstellen"
"Enable test mode below","Den nachfolgenden Testmodus aktivieren"
"Insert test client ID and client Secret below","Geben Sie unten die Client ID und Client Secret für den Test ein"
"Test payments","Die Zahlungen testen"
"Go to production","In den Produktionsmodus wechseln"
"Schedule an appointment here","Vereinbaren Sie einen Termin hier"
"Need help ?","Brauchen Sie Hilfe ?"
"As for the solution, if you want to know the coverage available ?","Über die Lösung, die verfügbare Abdeckung ?"
"Visit our FAQs here","Sehen Sie hier unsere FAQs ein"
"Having a problem setting up the solution ?","Ein Problem bei der Umsetzung der Lösung ?"
"Contact our technical team here","Kontaktieren Sie unser technisches Team hier"
"Having a technical issue in production ?","Ein technisches Problem in der Produktion ?"
"Contact our support here","Kontaktieren Sie unseren Support hier"
"Unavaliable","Nicht verfügbar"
"To configure this module you need to select a sub shop","Um dieses Modul zu konfigurieren, müssen Sie eine Boutique auswählen."
"What is Pay by Account-to-Account Transfer (by Bridge)?","Was ist das Modul Bezahlen per Überweisung von Konto zu Konto (by Bridge)?"
"Integrate Bridge, a secure plug-and-play payment solution, to increase your conversion rates at reduced costs. Enjoy easy reconciliation and low fraud rates.<br />","Integrieren Sie Bridge, eine sichere Plug-and-Play-Zahlungslösung, um Ihre Konversionsraten bei geringen Kosten zu steigern. Profitieren Sie von einem erleichterten Abgleich und niedrigen Betrugsraten. <br />"
"The Bridge payment solution allows you to:<br />","Die Bridge-Zahlungslösung ermöglicht es Ihnen: <br />"
"- Offer high payment ceilings:<br />","- Hohe Zahlungslimits anzubieten:<br />"
"Increase your conversion rates by allowing top carts to pay large sums instantly. <br />","Steigern Sie Ihre Konversionsraten, indem Sie hohen Warenkörben die Möglichkeit bieten, sofort große Beträge zu bezahlen. <br />"
"- Take advantage of a low-cost payment solution <br />","- Eine Zahlungslösung mit reduzierten Kosten zu nutzen. <br />"
"Both cost management and cash flow management are simplified. You can take advantage of a more competitive cost than using a credit card by paying a low percentage only on the transactions made on your site. <br />","Die Verwaltung der Kosten und des Cashflows wird vereinfacht. Die Gebühren sind konkurrenzfähiger als bei einer Zahlung per Bankkarte, da Sie nur für die auf Ihrer Website getätigten Transaktionen einen niedrigen Prozentsatz zahlen. <br />"
"- Enjoy instant payments: <br />","- Sofortige Zahlungen zu erhalten: <br />"
"Receive funds in your bank account fast.<br />","Die Gelder sind schnell auf Ihrem Bankkonto verfügbar.<br />"
"- Benefit from irrevocability of payments: <br />","- Von der Unwiderruflichkeit der Zahlungen zu profitieren: <br />"
"Payments are irrevocable. In other words, customers cannot cancel or modify their payments. <br />","Die Zahlung ist unwiderruflich, d. h. der Kunde kann seine Zahlung weder stornieren noch ändern. <br />"
"- Reduce fraud rates and offer secure payment<br />","- Die Betrugsrate zu senken und eine sichere Zahlung anzubieten.<br />"
"With account-to-account transfer, at the time of payment, your customer is authenticated directly to their online account.","Bei der Zahlung von Konto zu Konto identifiziert sich Ihr Kunde zum Zeitpunkt der Zahlung direkt bei se-inem Online-Konto."
"No sensitive data will be entered, which makes it possible to offer a secure payment process with a limited risk of fraud.<br />","Es werden keine sensiblen Daten eingegeben, was es ermöglicht, eine sichere Zahlungsabwicklung mit einem begrenzten Betrugsrisiko anzubieten.<br />"
"How does transfer payment work?","Wie funktioniert die Bezahlung per Überweisung?"
"A seamless and secure payment process: <br />","Eine zügige und sichere Zahlungsabwicklung:<br />"
"Step 1: The customer chooses to pay for their purchase by account-to-account transfer <br />","Schritt 1: Der Kunde wählt die Zahlung per Überweisung von Konto zu Konto, um seinen Kauf zu begleichen<br />"
"Step 2: The customer selects their bank to settle their purchase <br />","Schritt 2: Der Kunde wählt seine Bank aus, um seinen Kauf zu bezahlen<br />"
"Step 3: The customer is authenticated with their bank in a smooth and secure manner<br />","Schritt 3: Der Kunde identifiziert sich zügig und sicher bei seiner Bank<br />"
"Step 4: The customer verifies and confirms the payment <br />","Schritt 4: Der Kunde überprüft und bestätigt die Zahlung<br />"
"Benefits: <br />","Die Vorteile: <br />"
"- No manual input or IBAN<br />","- Keine manuelle oder IBAN-Eingabe<br />"
"- Payment in a few seconds<br />","- Zahlung innerhalb von wenigen Sekunden<br />"
"- No additional cost <br />","- Keine zusätzlichen Kosten <br />"
"High Ceilings <br />","Die hohen Obergrenzen <br />"
"Your customers can pay for big carts safely and instantly - no need to increase their credit card ceilings. <br />","Ihre Kunden können hohe Warenkörbe sicher und sofort bezahlen, es ist nicht mehr nötig, die Obergrenzen seiner Bankkarte zu erhöhen. <br />"
"Security <br />","Die Sicherheit <br />"
"No manual input is required - banking information remains in your customer's hands. <br />","Es ist keine manuelle Eingabe erforderlich, die Bankdaten bleiben in der Hand Ihres Kunden.<br />"
"Simplicity <br />","Die Einfachheit <br />"
"Whether your customer is on a mobile device or in front of a computer, the payment process is simple and seamless. Payment is completed in a matter of seconds.","Egal, ob Ihr Kunde per Handy oder Computer bezahlt, die Zahlungsabwicklung ist einfach und nahtlos. Die Zahlung erfolgt in nur wenigen Sekunden."
"How long will it take to receive my payment?","Wie lange wird es dauern, bis meine Zahlung empfangen wird?"
"It depends on the banks. There are two use cases as follows:<br />","Das hängt von den Banken ab, es gibt zwei Anwendungsfälle:<br />"
"- For banks that offer instant transfer, funds arrive in your account in a matter of seconds (10 seconds max).<br />","- Bei Banken, die eine Sofortüberweisung anbieten, kommt das Geld innerhalb weniger Sekunden auf Ihrem Konto an (max. 10 Sekunden)<br />"
"- For banks that do not offer instant transfer yet, the funds arrive in your bank account within 48 business hours.<br />","- Bei Banken, die die Sofortüberweisung noch nicht anbieten, kommen die Gelder innerhalb von 48 Geschäftsstunden auf Ihrem Bankkonto an.<br />"
"In both cases, the Magento module informs you of the status and condition of your payment.","In beiden Fällen zeigt Ihnen das Magento-Modul den Status und den Stand Ihrer Zahlung an."
"What are the technical requirements of the Magento2 module?","Welche technischen Anforderungen stellt das Magento-Modul?"
"How do I create my account on the Bridge dashboard?","Wie erstelle ich mein Konto auf dem Bridge-Dashboard?"
"Register <a href=""https://dashboard.bridgeapi.io/signup?utm_campaign=connector_magento"" target=""_blank"">here</a> to access the Bridge dashboard.","Registrieren Sie sich <a href=""https://dashboard.bridgeapi.io/signup?utm_campaign=connector_magento"" target=""_blank"">hier</a> um Zugang zum Bridge-Dashboard zu erhalten."
"How do I check that the module runs well?","Wie kann ich überprüfen, ob das Modul richtig funktioniert?"
"Test mode allows you to verify that the module is working properly with your shop and to see how the customer experience is without any funds or fees being charged.<br />","Der Testmodus ermöglicht es Ihnen, zu überprüfen, ob das Modul mit Ihrem Shop richtig funktioniert, und zu sehen, wie das Kundenerlebnis aussieht, ohne dass Geld oder Gebühren erhoben werden.<br />"
"Steps: <br />","Schritte: <br />"
"- Create an account on the Bridge dashboard<br />","- Erstellen Sie ein Konto auf dem Bridge-Dashboard<br />"
"- Create an app on the Bridge dashboard on Sandbox mode<br />","- Erstellen Sie eine App auf dem Bridge-Dashboard im Sandbox-Modus <br />"
"- Activate the Test mode on the module<br />","- Aktivieren Sie den Testmodus auf dem Modul<br />"
"- Add your Sandbox client ID and client secret<br />","- Fügen Sie Ihre Client ID und Sandbox Client Secret hinzu. <br />"
"You can then make the first Test payment :<br />","Anschließend können Sie Ihre erste Testzahlung vornehmen :<br />"
"How do I receive my first payments in my account?","Wie verbuche ich meine ersten Zahlungen auf meinem Konto?"
"Once you are ready to bill your customers with our module, you can switch to Production mode.<br />","Sobald Sie bereit sind, Ihren Kunden mit unserem Modul Rechnungen zu stellen, können Sie in den Produktionsmodus wechseln. <br />"
"You will need to create a Production app on the Bridge dashboard.<br />","Dazu müssen Sie eine Produktions-App im Bridge-Dashboard erstellen.<br />"
"To do so, please contact our sales team:<br />","Hierzu wenden Sie sich bitte an unser Vertriebsteam:<br />"
"Do I need to configure Bridge webhooks?","Muss ich die Webhooks auf der Bridge-Seite einrichten?"
"Yes, you need to configure webhooks in order to get more details about the transactions and their status.<br />","Ja, Sie müssen Webhooks einrichten, um weitere Details über Transaktionen und deren Status zu erhalten.<br />"
"You need to add this callback URL :","Sie müssen diese Erinnerungs-Url"
" to your Bridge dashboard > Webhooks > Add a webhook > And select this one:<br /> ","zu Ihrem Bridge-Dashboard > Webhooks > Add a webhook > hinzufügen und diesen auswählen:<br />"
"payment.transaction.updated.<br />","payment.transaction.updated.<br />"
"You can name the webhook as you wish.","Sie können den Webhook beliebig benennen."
"Do you have a question about your account, billing, fees, contract?<br />How do I contact support?","Sie haben eine Frage zu Ihrem Konto, zur Rechnungsstellung, zu den Gebühren, zu Ihrem Vertrag?<br />Wie kann ich den Support kontaktieren?"
"- URL: %s<br />- PHP: %s<br />- Module version: %s<br />- Magento version: %s<br />","- URL: %s<br />- PHP: %s<br />- Version modul: %s<br />- Version Magento: %s<br />"
"To contact the support you must go to the developer page of the module on Magento Addons","Um den Support zu kontaktieren, müssen Sie auf die Entwicklerseite des Moduls in Magento Addons gehen"
"Send a message with the following information:<br />","Senden Sie eine Nachricht mit den folgenden Informationen: <br />"
"- Multishop: yes / no","- Multishop: Ja / Nein"
"contact us here","Kontaktieren Sie uns hier"
